SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,0-17 yrs,Bay Area,07/08/2023,27,2023,194,6693,2.898550725,Very Low,29,226,12.831858,Moderate,6,329,1.823708,Low,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,,,
2023/2024,0-17 yrs,Bay Area,07/15/2023,28,2023,200,6758,2.95945546,Very Low,29,314,9.235669,Moderate,8,367,2.179837,Low,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,,,
2023/2024,All Ages,Los Angeles,07/15/2023,28,2023,1861,33110,5.620658411,Low,114,3017,3.778588,Low,4,2229,0.179453,Very Low,,,,,,,,,,,,,,,,1224,12,0,0,0.980392,0,0,,,
2023/2024,All Ages,Southern California,07/15/2023,28,2023,1638,23929,6.845250533,Low,100,4534,2.205558,Low,13,3523,0.369004,Very Low,,,,,,,,,,,,,,,,1753,19,0,0,1.083856,0,0,,,
2023/2024,18-64 yrs,Los Angeles,07/15/2023,28,2023,1137,17775,6.396624473,Low,72,1724,4.176334,Low,2,1296,0.154321,Very Low,,,,,,,,,,,,,,,,362,4,0,0,1.104972,0,0,,,
2023/2024,18-64 yrs,Rural North,07/15/2023,28,2023,46,637,7.221350079,Low,0,89,0,Very Low,0,27,0,Very Low,,,,,,,,,,,,,,,,34,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Rural North,07/15/2023,28,2023,27,266,10.15037594,Moderate,0,64,0,Very Low,0,27,0,Very Low,,,,,,,,,,,,,,,,104,3,0,0,2.884615,0,0,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,07/15/2023,28,2023,229,3927,5.831423478,Low,11,307,3.583062,Low,1,125,0.8,Very Low,,,,,,,,,,,,,,,,89,1,0,0,1.123596,0,0,,,
2023/2024,18-64 yrs,Central California,07/15/2023,28,2023,451,9836,4.585197235,Low,8,608,1.315789,Very Low,1,446,0.224215,Very Low,,,,,,,,,,,,,,,,223,2,0,0,0.896861,0,0,,,
2023/2024,0-17 yrs,Los Angeles,07/15/2023,28,2023,159,2861,5.557497378,Low,25,309,8.090615,Low,1,189,0.529101,Very Low,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,,,
