SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2024/2025,10/05/2024,40,2024,140,67,27,30,4,140,5,6.85,6.85,0.5476190476190477,0.08101190476190476,68.01785714285714,4.520833333333333,25.87440476190476,13.345833333333333,306.01785714285717,19.948809523809523
2024/2025,10/12/2024,41,2024,88,55,20,30,4,88,3,5.8,5.9,0.10714285714285714,0.05386904761904762,46.57142857142857,3.0999999999999996,20.263690476190476,8.129761904761905,231.02380952380952,12.297023809523811
2024/2025,10/19/2024,42,2024,38,30,10,27,3,38,2,5.25,5.5,0.05357142857142857,0.048452380952380955,46.57142857142857,2.348809523809524,13.599404761904761,5.338095238095238,186.20238095238096,8.098809523809523
2024/2025,10/26/2024,43,2024,61,61,23,28,6,46,5,4.9,4.9,0.43452380952380953,0.04380952380952381,45.81547619047619,4.207142857142857,26.738690476190477,9.650595238095239,305.61309523809524,14.532738095238095
2024/2025,11/02/2024,44,2024,52,52,18,16,4,39,2,4.05,4.65,0.017857142857142856,0.06321428571428572,57.81547619047619,2.0821428571428573,11.51845238095238,5.080357142857143,259.67857142857144,8.003571428571428
2024/2025,11/09/2024,45,2024,56,56,22,34,6,44,4,4.05,4.05,1.3511904761904763,0.054047619047619046,48.232142857142854,3.5779761904761904,24.364285714285714,8.901785714285714,320.1309523809524,14.391071428571427
2024/2025,11/16/2024,46,2024,55,55,18,34,5,42,4,3.3,3.3,0.17857142857142858,0.06517857142857143,51.660714285714285,3.0934523809523813,21.755357142857143,8.827380952380953,298.1190476190476,11.466666666666667
2024/2025,11/23/2024,47,2024,54,54,14,30,6,39,4,2.65,3.1,0.11904761904761904,0.06922619047619048,61.035714285714285,2.0327380952380953,13.954761904761906,5.964285714285714,247.28571428571428,7.3202380952380945
2024/2025,11/30/2024,48,2024,53,53,14,32,8,39,3,2.5,2.65,0.7202380952380952,0.04642857142857143,38.94047619047619,2.6083333333333334,28.491666666666667,9.673214285714286,383.375,11.105357142857143
2024/2025,12/07/2024,49,2024,72,72,21,34,8,27,6,2.4,2.45,0.5595238095238095,0.051428571428571435,24.458333333333332,5.094642857142857,40.81488095238095,16.531547619047622,474.70238095238096,17.16904761904762
2024/2025,12/14/2024,50,2024,96,96,31,32,7,42,4,2.25,2.3,0.9761904761904762,0.08428571428571428,49.36309523809524,2.7339285714285717,24.136309523809523,10.939285714285713,326.67261904761904,12.829761904761906
2024/2025,12/21/2024,51,2024,64,64,18,30,9,31,3,2.3,2.4,0.6130952380952381,0.08660714285714285,35.17857142857143,3.082738095238095,27.520833333333332,11.444642857142858,392.7440476190476,12.69047619047619
2024/2025,12/28/2024,52,2024,43,43,12,25,6,38,4,2.3,2.45,0.18452380952380953,0.09029761904761904,47.57738095238095,2.7267857142857146,17.998214285714283,7.5375,298.3690476190476,9.366666666666665
2024/2025,01/04/2025,1,2025,56,56,17,33,8,42,5,2.35,2.4,0.6488095238095238,0.06482142857142857,34.49404761904762,3.9029761904761906,31.11904761904762,10.779761904761905,351.30357142857144,12.604761904761904
2024/2025,01/11/2025,2,2025,56,56,17,33,6,35,5,2.6,2.6,3.988095238095238,0.047678571428571424,34.267857142857146,4.397619047619047,32.739285714285714,10.051190476190476,311.10714285714283,13.092857142857142
2024/2025,01/18/2025,3,2025,68,68,21,36,7,38,6,2.4,2.5,2.3095238095238093,0.054047619047619046,32.25,4.851190476190476,37.311904761904756,13.213095238095239,400.8690476190476,15.244047619047619
2024/2025,01/25/2025,4,2025,71,71,21,34,7,36,7,2.8,2.8,1.2678571428571428,0.06922619047619048,32.601190476190474,5.086309523809524,37.926785714285714,14.336309523809524,399.1666666666667,15.662500000000001
2024/2025,02/01/2025,5,2025,64,64,21,33,4,36,5,2.55,3.15,1.2797619047619047,0.11619047619047619,42.36309523809524,3.5773809523809526,28.245238095238093,12.585714285714285,321.30357142857144,15.435119047619047
2024/2025,02/08/2025,6,2025,47,47,13,28,4,42,3,3.5,3.55,0.8392857142857143,0.0955357142857143,63.785714285714285,1.6791666666666667,12.172619047619047,6.332738095238096,221.20833333333334,8.0625
2024/2025,02/15/2025,7,2025,53,53,15,32,5,44,4,3.6,3.8,0.9821428571428571,0.08244047619047619,61.05357142857143,3.2690476190476194,19.357738095238094,8.811904761904762,286.0595238095238,10.977380952380953
